VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,PUBorough,PUZone,PUservice_zone,DOBorough,DOZone,DOservice_zone
1,2023-01-26 16:25:10,2023-01-26 16:55:24,Y,6.0,1,263,4.0,3.366,11.52,1.25,0.0,0.35,12.24,,0.0,28.11,1.0,1.0,2.75,Unknown,Unknown,Unknown,Brooklyn,Greenpoint,Boro Zone
1,2023-01-14 03:34:34,2023-01-14 04:00:26,Y,1.0,181,1,3.0,1.977,8.82,1.25,0.0,0.0,9.5,,0.0,22.32,2.0,1.0,2.75,Brooklyn,Williamsburg (North Side),Boro Zone,Unknown,Unknown,Unknown
2,2023-01-10 02:40:01,2023-01-10 03:05:44,Y,99.0,7,239,2.0,3.581,9.7,4.0,0.5,0.81,12.24,,0.3,30.05,1.0,1.0,2.5,Queens,Steinway,Boro Zone,Manhattan,Central Park,Yellow Zone
1,2023-01-08 13:53:31,2023-01-08 14:10:45,N,1.0,263,239,5.0,4.838,11.84,5.5,0.5,0.0,0.0,,0.3,18.14,2.0,1.0,0.0,Brooklyn,Greenpoint,Boro Zone,Manhattan,Central Park,Yellow Zone
2,2023-01-28 23:09:42,2023-01-28 23:14:18,N,5.0,239,75,3.0,0.128,3.32,4.0,0.0,0.0,12.24,,0.0,22.31,1.0,2.0,2.75,Manhattan,Central Park,Yellow Zone,Manhattan,Bloomingdale,Boro Zone
1,2023-01-17 23:08:09,2023-01-17 23:11:28,N,3.0,132,142,9.0,4.215,12.1,3.75,0.5,0.0,5.76,,0.0,24.61,2.0,1.0,2.5,Queens,LaGuardia Airport,Airports,Queens,Steinway,Boro Zone
1,2023-01-03 23:15:08,2023-01-03 23:24:54,Y,5.0,41,75,3.0,0.218,2.5,1.0,0.5,0.0,0.0,,0.3,6.8,1.0,2.0,2.5,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Bloomingdale,Boro Zone
1,2023-01-21 12:36:55,2023-01-21 12:41:56,N,4.0,132,181,4.0,0.28,2.53,0.5,0.0,0.0,5.76,,0.3,9.09,2.0,2.0,0.0,Queens,LaGuardia Airport,Airports,Brooklyn,Williamsburg (North Side),Boro Zone
1,2023-01-15 03:00:05,2023-01-15 03:30:22,N,2.0,75,74,3.0,2.594,9.01,4.0,0.5,0.0,17.0,,0.3,33.56,2.0,2.0,2.75,Manhattan,Bloomingdale,Boro Zone,Manhattan,Morningside Heights,Boro Zone
2,2023-01-19 08:06:38,2023-01-19 08:15:51,Y,99.0,1,239,0.0,0.384,2.5,5.5,0.0,3.89,0.0,,0.0,14.64,1.0,2.0,2.75,Unknown,Unknown,Unknown,Manhattan,Central Park,Yellow Zone
2,2023-01-21 11:00:40,2023-01-21 11:43:08,N,5.0,132,7,9.0,4.128,11.63,3.0,0.5,3.08,0.0,,0.0,20.96,1.0,2.0,2.75,Queens,LaGuardia Airport,Airports,Queens,Steinway,Boro Zone
1,2023-01-07 18:49:06,2023-01-07 19:24:04,N,4.0,132,142,2.0,1.827,5.22,2.75,0.0,0.0,0.0,,0.3,11.02,1.0,1.0,2.75,Queens,LaGuardia Airport,Airports,Queens,Steinway,Boro Zone
1,2023-01-22 15:30:30,2023-01-22 15:56:06,Y,3.0,7,142,2.0,1.998,7.72,3.0,0.0,3.19,0.0,,0.3,16.71,1.0,1.0,2.5,Queens,Steinway,Boro Zone,Queens,Steinway,Boro Zone
1,2023-01-27 14:33:36,2023-01-27 15:10:12,Y,2.0,132,181,1.0,0.519,4.71,0.5,0.5,5.76,9.5,,0.0,23.72,1.0,1.0,2.75,Queens,LaGuardia Airport,Airports,Brooklyn,Williamsburg (North Side),Boro Zone
1,2023-01-27 19:22:01,2023-01-27 20:06:00,N,5.0,4,181,6.0,0.543,2.5,1.25,0.0,0.0,17.0,,0.3,23.55,2.0,2.0,2.5,Bronx,Allerton/Pelham Gardens,Boro Zone,Brooklyn,Williamsburg (North Side),Boro Zone
1,2023-01-11 02:52:51,2023-01-11 03:24:27,Y,2.0,239,138,1.0,4.076,9.85,2.0,0.0,0.0,0.0,,0.0,14.6,1.0,1.0,2.75,Manhattan,Central Park,Yellow Zone,Queens,JFK Airport,Airports
1,2023-01-15 01:04:35,2023-01-15 01:19:06,Y,1.0,132,181,0.0,5.121,13.98,5.5,0.5,3.47,5.76,,0.0,31.96,1.0,2.0,2.75,Queens,LaGuardia Airport,Airports,Brooklyn,Williamsburg (North Side),Boro Zone
1,2023-01-03 07:37:15,2023-01-03 07:58:44,Y,6.0,132,263,9.0,2.792,7.57,1.25,0.5,2.26,12.24,,0.3,24.12,1.0,1.0,0.0,Queens,LaGuardia Airport,Airports,Brooklyn,Greenpoint,Boro Zone
2,2023-01-30 00:07:55,2023-01-30 00:34:33,N,4.0,239,75,9.0,1.735,6.66,5.5,0.0,0.0,0.0,,0.0,12.16,2.0,2.0,0.0,Manhattan,Central Park,Yellow Zone,Manhattan,Bloomingdale,Boro Zone
1,2023-01-18 09:32:45,2023-01-18 09:47:25,Y,5.0,239,181,9.0,0.633,3.01,1.0,0.5,0.0,0.0,,0.0,7.01,2.0,1.0,2.5,Manhattan,Central Park,Yellow Zone,Brooklyn,Williamsburg (North Side),Boro Zone
1,2023-01-21 19:39:52,2023-01-21 20:18:24,Y,6.0,75,263,0.0,1.583,4.46,0.5,0.0,0.0,12.24,,0.0,19.7,2.0,2.0,2.5,Manhattan,Bloomingdale,Boro Zone,Brooklyn,Greenpoint,Boro Zone
1,2023-01-17 00:30:50,2023-01-17 01:04:21,Y,4.0,74,75,0.0,1.565,7.53,2.5,0.5,0.0,9.5,,0.3,22.83,2.0,2.0,2.5,Manhattan,Morningside Heights,Boro Zone,Manhattan,Bloomingdale,Boro Zone
2,2023-01-06 02:09:52,2023-01-06 02:23:30,Y,1.0,41,4,0.0,1.254,4.97,4.0,0.5,0.0,0.0,,0.0,9.47,2.0,1.0,0.0,Manhattan,Lincoln Square West,Yellow Zone,Bronx,Allerton/Pelham Gardens,Boro Zone
1,2023-01-09 22:05:46,2023-01-09 22:08:47,Y,1.0,1,239,1.0,1.405,5.18,3.75,0.0,0.49,17.0,,0.3,26.72,1.0,1.0,0.0,Unknown,Unknown,Unknown,Manhattan,Central Park,Yellow Zone
2,2023-01-19 01:48:49,2023-01-19 02:34:14,N,3.0,132,132,3.0,2.743,9.7,3.75,0.5,0.0,0.0,,0.0,16.45,2.0,1.0,2.5,Queens,LaGuardia Airport,Airports,Queens,LaGuardia Airport,Airports
2,2023-01-21 03:38:13,2023-01-21 04:03:17,N,3.0,74,7,1.0,3.553,11.71,0.0,0.5,3.84,0.0,,0.0,16.05,1.0,2.0,0.0,Manhattan,Morningside Heights,Boro Zone,Queens,Steinway,Boro Zone
1,2023-01-02 06:34:38,2023-01-02 06:52:10,Y,3.0,132,239,4.0,2.251,5.21,1.0,0.5,0.93,17.0,,0.3,27.69,1.0,2.0,2.75,Queens,LaGuardia Airport,Airports,Manhattan,Central Park,Yellow Zone
1,2023-01-26 13:48:19,2023-01-26 14:08:44,N,1.0,75,132,1.0,1.294,2.76,4.0,0.0,0.52,17.0,,0.3,27.08,1.0,2.0,2.5,Manhattan,Bloomingdale,Boro Zone,Queens,LaGuardia Airport,Airports
2,2023-01-24 12:49:10,2023-01-24 13:31:42,N,3.0,74,132,0.0,2.97,4.74,0.5,0.5,0.13,17.0,,0.3,23.17,1.0,2.0,0.0,Manhattan,Morningside Heights,Boro Zone,Queens,LaGuardia Airport,Airports
2,2023-01-10 13:23:36,2023-01-10 13:48:06,Y,6.0,4,41,9.0,0.606,3.18,3.0,0.5,1.31,5.76,,0.0,13.75,1.0,1.0,0.0,Bronx,Allerton/Pelham Gardens,Boro Zone,Manhattan,Lincoln Square West,Yellow Zone
2,2023-01-08 11:14:23,2023-01-08 11:42:10,Y,4.0,132,75,2.0,4.655,15.62,0.0,0.5,0.0,0.0,,0.3,16.42,2.0,1.0,0.0,Queens,LaGuardia Airport,Airports,Manhattan,Bloomingdale,Boro Zone
1,2023-01-08 22:49:36,2023-01-08 23:02:40,N,99.0,41,74,6.0,2.668,9.01,3.5,0.0,2.8,0.0,,0.0,15.31,1.0,2.0,0.0,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Morningside Heights,Boro Zone
2,2023-01-19 06:39:19,2023-01-19 07:13:42,N,99.0,75,75,3.0,0.283,4.05,1.5,0.0,2.26,9.5,,0.0,19.81,1.0,2.0,2.5,Manhattan,Bloomingdale,Boro Zone,Manhattan,Bloomingdale,Boro Zone
2,2023-01-21 06:44:50,2023-01-21 07:11:24,N,3.0,239,142,3.0,1.943,3.48,1.25,0.0,0.0,0.0,,0.0,7.23,2.0,2.0,2.5,Manhattan,Central Park,Yellow Zone,Queens,Steinway,Boro Zone
2,2023-01-30 12:45:03,2023-01-30 13:27:38,N,6.0,239,1,5.0,0.446,4.57,0.0,0.0,0.0,6.55,,0.3,11.42,2.0,1.0,0.0,Manhattan,Central Park,Yellow Zone,Unknown,Unknown,Unknown
2,2023-01-06 13:20:47,2023-01-06 13:42:42,N,6.0,41,138,5.0,3.934,10.99,2.5,0.0,2.28,0.0,,0.3,18.82,1.0,2.0,2.75,Manhattan,Lincoln Square West,Yellow Zone,Queens,JFK Airport,Airports
2,2023-01-02 05:50:50,2023-01-02 06:14:44,Y,5.0,132,239,3.0,1.196,5.7,2.0,0.5,0.0,9.5,,0.0,20.45,2.0,2.0,2.75,Queens,LaGuardia Airport,Airports,Manhattan,Central Park,Yellow Zone
2,2023-01-26 19:54:20,2023-01-26 20:03:46,N,6.0,263,132,6.0,0.497,2.5,2.0,0.5,0.0,0.0,,0.3,8.05,1.0,1.0,2.75,Brooklyn,Greenpoint,Boro Zone,Queens,LaGuardia Airport,Airports
2,2023-01-17 09:56:15,2023-01-17 10:30:19,Y,5.0,1,1,4.0,2.192,4.53,2.5,0.0,0.74,5.76,,0.3,16.33,1.0,2.0,2.5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,2023-01-18 12:58:56,2023-01-18 13:44:23,N,4.0,142,4,9.0,1.953,3.73,3.75,0.0,0.19,9.5,,0.3,20.22,1.0,1.0,2.75,Queens,Steinway,Boro Zone,Bronx,Allerton/Pelham Gardens,Boro Zone
2,2023-01-03 01:31:14,2023-01-03 02:13:50,Y,99.0,41,75,3.0,1.977,7.56,3.75,0.5,1.64,6.55,,0.0,20.0,1.0,1.0,0.0,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Bloomingdale,Boro Zone
2,2023-01-08 12:05:07,2023-01-08 12:27:38,Y,4.0,74,132,6.0,2.291,6.41,6.0,0.0,0.0,17.0,,0.3,32.21,2.0,1.0,2.5,Manhattan,Morningside Heights,Boro Zone,Queens,LaGuardia Airport,Airports
1,2023-01-31 15:34:41,2023-01-31 16:01:22,Y,99.0,181,74,6.0,3.742,10.24,1.25,0.0,2.11,17.0,,0.3,30.9,1.0,1.0,0.0,Brooklyn,Williamsburg (North Side),Boro Zone,Manhattan,Morningside Heights,Boro Zone
2,2023-01-06 03:38:21,2023-01-06 04:04:10,N,99.0,142,75,9.0,2.305,5.4,3.5,0.5,0.0,0.0,,0.3,9.7,2.0,2.0,0.0,Queens,Steinway,Boro Zone,Manhattan,Bloomingdale,Boro Zone
2,2023-01-15 04:11:05,2023-01-15 04:29:44,N,6.0,142,7,3.0,4.149,12.38,1.5,0.5,0.0,17.0,,0.0,34.13,2.0,1.0,2.75,Queens,Steinway,Boro Zone,Queens,Steinway,Boro Zone
2,2023-01-05 06:07:34,2023-01-05 06:38:15,Y,2.0,263,263,2.0,3.127,9.52,1.25,0.5,0.33,0.0,,0.0,14.35,1.0,1.0,2.75,Brooklyn,Greenpoint,Boro Zone,Brooklyn,Greenpoint,Boro Zone
2,2023-01-16 00:21:26,2023-01-16 00:59:10,N,4.0,181,41,0.0,2.552,6.77,1.25,0.5,0.82,0.0,,0.3,12.39,1.0,2.0,2.75,Brooklyn,Williamsburg (North Side),Boro Zone,Manhattan,Lincoln Square West,Yellow Zone
2,2023-01-06 04:43:02,2023-01-06 04:59:29,N,99.0,263,181,6.0,0.609,6.72,5.5,0.5,0.95,12.24,,0.0,28.41,1.0,2.0,2.5,Brooklyn,Greenpoint,Boro Zone,Brooklyn,Williamsburg (North Side),Boro Zone
1,2023-01-20 15:56:45,2023-01-20 16:20:42,N,3.0,1,1,6.0,1.238,4.36,4.0,0.0,1.55,0.0,,0.3,10.21,1.0,2.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2023-01-17 15:35:33,2023-01-17 15:52:26,Y,6.0,7,75,6.0,1.385,5.91,1.0,0.5,0.0,17.0,,0.0,24.41,2.0,2.0,0.0,Queens,Steinway,Boro Zone,Manhattan,Bloomingdale,Boro Zone
2,2023-01-23 23:33:08,2023-01-24 00:18:51,N,3.0,138,4,6.0,0.885,4.6,1.5,0.5,0.0,6.55,,0.3,13.45,2.0,1.0,0.0,Queens,JFK Airport,Airports,Bronx,Allerton/Pelham Gardens,Boro Zone
1,2023-01-03 04:36:47,2023-01-03 05:08:33,N,2.0,1,74,1.0,0.822,4.78,5.0,0.0,0.74,17.0,,0.0,27.52,1.0,1.0,0.0,Unknown,Unknown,Unknown,Manhattan,Morningside Heights,Boro Zone
1,2023-01-03 13:54:26,2023-01-03 14:13:21,Y,4.0,74,1,1.0,2.996,7.82,3.5,0.0,0.0,12.24,,0.3,26.61,2.0,2.0,2.75,Manhattan,Morningside Heights,Boro Zone,Unknown,Unknown,Unknown
1,2023-01-03 02:51:02,2023-01-03 03:01:13,Y,3.0,138,75,1.0,0.804,2.5,3.5,0.0,0.0,0.0,,0.3,9.05,2.0,2.0,2.75,Queens,JFK Airport,Airports,Manhattan,Bloomingdale,Boro Zone
1,2023-01-13 01:47:13,2023-01-13 02:21:06,Y,1.0,239,4,4.0,1.598,7.11,5.5,0.0,0.0,6.55,,0.0,21.66,2.0,2.0,2.5,Manhattan,Central Park,Yellow Zone,Bronx,Allerton/Pelham Gardens,Boro Zone
2,2023-01-29 14:19:44,2023-01-29 14:37:22,Y,99.0,138,74,6.0,4.48,10.28,5.5,0.5,0.0,6.55,,0.0,25.33,2.0,2.0,2.5,Queens,JFK Airport,Airports,Manhattan,Morningside Heights,Boro Zone
2,2023-01-31 04:48:25,2023-01-31 05:06:15,Y,6.0,75,239,4.0,5.663,13.47,3.5,0.5,0.0,0.0,,0.3,20.27,2.0,2.0,2.5,Manhattan,Bloomingdale,Boro Zone,Manhattan,Central Park,Yellow Zone
2,2023-01-21 03:06:23,2023-01-21 03:29:01,N,2.0,74,181,9.0,5.57,12.92,3.5,0.5,0.0,6.55,,0.3,23.77,2.0,2.0,0.0,Manhattan,Morningside Heights,Boro Zone,Brooklyn,Williamsburg (North Side),Boro Zone
1,2023-01-04 08:13:10,2023-01-04 08:25:03,N,99.0,239,75,4.0,1.569,4.98,2.0,0.5,0.94,12.24,,0.3,23.71,1.0,1.0,2.75,Manhattan,Central Park,Yellow Zone,Manhattan,Bloomingdale,Boro Zone
2,2023-01-11 06:27:05,2023-01-11 07:00:05,N,5.0,142,75,3.0,5.68,14.48,4.0,0.5,2.47,17.0,,0.3,41.25,1.0,1.0,2.5,Queens,Steinway,Boro Zone,Manhattan,Bloomingdale,Boro Zone
2,2023-01-08 03:56:32,2023-01-08 04:26:03,Y,3.0,138,181,5.0,1.12,4.91,2.75,0.5,0.0,0.0,,0.3,11.21,2.0,2.0,2.75,Queens,JFK Airport,Airports,Brooklyn,Williamsburg (North Side),Boro Zone
2,2023-01-07 04:57:06,2023-01-07 05:31:38,N,3.0,75,138,3.0,3.392,10.01,0.5,0.0,2.2,5.76,,0.3,18.77,1.0,1.0,0.0,Manhattan,Bloomingdale,Boro Zone,Queens,JFK Airport,Airports
2,2023-01-18 22:01:38,2023-01-18 22:04:10,N,6.0,142,41,4.0,0.139,3.67,0.5,0.0,0.0,6.55,,0.3,11.02,2.0,1.0,0.0,Queens,Steinway,Boro Zone,Manhattan,Lincoln Square West,Yellow Zone
1,2023-01-02 06:15:40,2023-01-02 06:29:10,N,1.0,41,1,0.0,1.447,5.23,3.0,0.5,0.0,0.0,,0.0,11.48,2.0,1.0,2.75,Manhattan,Lincoln Square West,Yellow Zone,Unknown,Unknown,Unknown
2,2023-01-20 08:47:30,2023-01-20 09:11:46,N,4.0,239,263,9.0,0.12,5.1,2.0,0.0,0.0,0.0,,0.0,9.6,2.0,1.0,2.5,Manhattan,Central Park,Yellow Zone,Brooklyn,Greenpoint,Boro Zone
2,2023-01-01 18:19:13,2023-01-01 19:01:19,Y,5.0,4,263,0.0,2.843,7.15,1.0,0.0,1.75,6.55,,0.3,16.75,1.0,1.0,0.0,Bronx,Allerton/Pelham Gardens,Boro Zone,Brooklyn,Greenpoint,Boro Zone
1,2023-01-06 23:32:51,2023-01-06 23:44:27,N,4.0,75,132,9.0,2.058,7.74,1.5,0.5,2.08,0.0,,0.3,14.87,1.0,1.0,2.75,Manhattan,Bloomingdale,Boro Zone,Queens,LaGuardia Airport,Airports
1,2023-01-11 01:31:14,2023-01-11 02:08:31,N,6.0,41,263,1.0,3.086,6.38,1.0,0.0,3.29,12.24,,0.0,25.66,1.0,1.0,2.75,Manhattan,Lincoln Square West,Yellow Zone,Brooklyn,Greenpoint,Boro Zone
2,2023-01-30 01:42:00,2023-01-30 02:13:16,N,3.0,132,75,0.0,1.409,4.83,1.25,0.5,0.0,0.0,,0.3,9.63,2.0,1.0,2.75,Queens,LaGuardia Airport,Airports,Manhattan,Bloomingdale,Boro Zone
2,2023-01-01 18:23:54,2023-01-01 18:44:42,Y,4.0,41,74,1.0,8.057,18.0,3.0,0.0,4.18,5.76,,0.0,33.44,1.0,1.0,2.5,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Morningside Heights,Boro Zone
2,2023-01-01 14:25:34,2023-01-01 14:46:31,N,4.0,239,1,1.0,0.727,7.09,2.75,0.5,0.0,0.0,,0.3,13.14,2.0,2.0,2.5,Manhattan,Central Park,Yellow Zone,Unknown,Unknown,Unknown
1,2023-01-27 19:42:16,2023-01-27 20:04:51,N,6.0,132,142,5.0,5.465,14.04,3.5,0.5,2.73,12.24,,0.0,33.01,1.0,1.0,0.0,Queens,LaGuardia Airport,Airports,Queens,Steinway,Boro Zone
1,2023-01-03 16:25:15,2023-01-03 16:43:52,Y,4.0,239,181,9.0,1.185,5.24,6.0,0.5,0.0,0.0,,0.0,14.49,2.0,2.0,2.75,Manhattan,Central Park,Yellow Zone,Brooklyn,Williamsburg (North Side),Boro Zone
2,2023-01-09 07:30:16,2023-01-09 07:59:13,N,3.0,142,132,5.0,1.288,5.14,3.75,0.0,0.0,9.5,,0.0,20.89,2.0,2.0,2.5,Queens,Steinway,Boro Zone,Queens,LaGuardia Airport,Airports
2,2023-01-16 11:34:42,2023-01-16 11:44:29,Y,4.0,132,4,1.0,0.45,2.92,2.0,0.5,0.0,12.24,,0.3,17.96,2.0,1.0,0.0,Queens,LaGuardia Airport,Airports,Bronx,Allerton/Pelham Gardens,Boro Zone
2,2023-01-05 13:35:40,2023-01-05 13:41:15,N,1.0,75,142,3.0,3.025,7.47,3.0,0.5,0.0,6.55,,0.3,20.57,2.0,1.0,2.75,Manhattan,Bloomingdale,Boro Zone,Queens,Steinway,Boro Zone
1,2023-01-03 21:04:43,2023-01-03 21:45:09,N,4.0,4,41,9.0,1.816,4.94,0.5,0.0,0.0,9.5,,0.0,17.69,1.0,2.0,2.75,Bronx,Allerton/Pelham Gardens,Boro Zone,Manhattan,Lincoln Square West,Yellow Zone
2,2023-01-22 18:04:50,2023-01-22 18:19:39,Y,2.0,263,181,1.0,0.972,4.37,2.75,0.0,0.0,5.76,,0.0,15.38,2.0,2.0,2.5,Brooklyn,Greenpoint,Boro Zone,Brooklyn,Williamsburg (North Side),Boro Zone
2,2023-01-30 11:49:27,2023-01-30 12:32:05,Y,4.0,7,4,2.0,3.135,11.07,2.5,0.0,0.0,9.5,,0.0,23.07,2.0,2.0,0.0,Queens,Steinway,Boro Zone,Bronx,Allerton/Pelham Gardens,Boro Zone
2,2023-01-09 17:46:35,2023-01-09 18:13:30,Y,3.0,7,4,4.0,2.416,9.05,5.5,0.5,0.0,0.0,,0.0,17.55,2.0,2.0,2.5,Queens,Steinway,Boro Zone,Bronx,Allerton/Pelham Gardens,Boro Zone
2,2023-01-22 15:50:03,2023-01-22 16:23:47,N,3.0,7,138,3.0,2.603,7.73,4.0,0.0,0.0,6.55,,0.3,18.58,2.0,1.0,0.0,Queens,Steinway,Boro Zone,Queens,JFK Airport,Airports
2,2023-01-04 00:09:07,2023-01-04 00:45:25,N,4.0,181,239,2.0,2.244,7.74,2.75,0.0,0.0,0.0,,0.0,13.24,2.0,1.0,2.75,Brooklyn,Williamsburg (North Side),Boro Zone,Manhattan,Central Park,Yellow Zone
2,2023-01-01 14:35:28,2023-01-01 14:50:42,Y,6.0,1,138,2.0,6.076,13.5,2.5,0.0,0.0,9.5,,0.0,28.0,2.0,2.0,2.5,Unknown,Unknown,Unknown,Queens,JFK Airport,Airports
2,2023-01-21 12:26:42,2023-01-21 12:44:04,Y,99.0,1,239,5.0,6.142,13.57,5.5,0.5,0.0,17.0,,0.3,39.62,2.0,1.0,2.75,Unknown,Unknown,Unknown,Manhattan,Central Park,Yellow Zone
1,2023-01-31 21:04:27,2023-01-31 21:41:52,N,2.0,41,41,1.0,0.234,2.5,2.5,0.0,0.0,5.76,,0.0,13.26,1.0,2.0,2.5,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone
2,2023-01-16 19:56:03,2023-01-16 20:10:30,Y,3.0,74,74,5.0,2.852,7.24,2.0,0.5,0.0,0.0,,0.0,9.74,2.0,1.0,0.0,Manhattan,Morningside Heights,Boro Zone,Manhattan,Morningside Heights,Boro Zone
1,2023-01-14 12:03:08,2023-01-14 12:10:25,N,5.0,142,132,3.0,1.474,7.97,2.75,0.0,0.0,0.0,,0.0,13.22,2.0,2.0,2.5,Queens,Steinway,Boro Zone,Queens,LaGuardia Airport,Airports
1,2023-01-14 15:14:09,2023-01-14 15:26:04,N,3.0,138,142,2.0,0.915,4.54,0.5,0.5,0.0,6.55,,0.3,15.14,2.0,2.0,2.75,Queens,JFK Airport,Airports,Queens,Steinway,Boro Zone
2,2023-01-07 01:55:03,2023-01-07 02:29:56,N,2.0,1,142,6.0,4.067,11.08,5.5,0.5,0.0,12.24,,0.0,29.32,2.0,2.0,0.0,Unknown,Unknown,Unknown,Queens,Steinway,Boro Zone
2,2023-01-21 10:43:36,2023-01-21 11:07:34,Y,99.0,75,1,6.0,0.225,3.36,1.5,0.0,0.0,0.0,,0.0,7.61,2.0,2.0,2.75,Manhattan,Bloomingdale,Boro Zone,Unknown,Unknown,Unknown
2,2023-01-04 03:14:06,2023-01-04 03:16:26,Y,6.0,142,181,3.0,2.702,7.91,3.5,0.5,1.26,6.55,,0.0,22.47,1.0,1.0,2.75,Queens,Steinway,Boro Zone,Brooklyn,Williamsburg (North Side),Boro Zone
1,2023-01-27 14:09:56,2023-01-27 14:48:05,N,6.0,75,74,2.0,1.39,6.21,0.5,0.5,0.0,9.5,,0.3,19.76,2.0,1.0,2.75,Manhattan,Bloomingdale,Boro Zone,Manhattan,Morningside Heights,Boro Zone
2,2023-01-13 14:02:21,2023-01-13 14:05:11,N,99.0,181,239,2.0,0.63,2.75,1.5,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,2.75,Brooklyn,Williamsburg (North Side),Boro Zone,Manhattan,Central Park,Yellow Zone
1,2023-01-09 02:41:43,2023-01-09 03:15:16,Y,99.0,4,239,6.0,0.71,3.46,5.5,0.5,0.0,0.0,,0.0,11.96,1.0,2.0,2.5,Bronx,Allerton/Pelham Gardens,Boro Zone,Manhattan,Central Park,Yellow Zone
2,2023-01-16 17:57:22,2023-01-16 18:10:22,N,6.0,41,1,4.0,1.717,9.03,3.5,0.5,3.99,9.5,,0.3,26.82,1.0,2.0,0.0,Manhattan,Lincoln Square West,Yellow Zone,Unknown,Unknown,Unknown
2,2023-01-09 01:56:08,2023-01-09 02:14:55,Y,6.0,74,41,1.0,2.496,6.51,3.75,0.5,0.0,6.55,,0.3,20.36,2.0,1.0,2.75,Manhattan,Morningside Heights,Boro Zone,Manhattan,Lincoln Square West,Yellow Zone
1,2023-01-10 13:29:56,2023-01-10 13:44:57,N,4.0,132,138,1.0,2.566,7.71,0.5,0.0,0.0,0.0,,0.0,10.71,2.0,2.0,2.5,Queens,LaGuardia Airport,Airports,Queens,JFK Airport,Airports
2,2023-01-04 16:12:17,2023-01-04 16:31:46,Y,4.0,75,181,1.0,0.637,3.95,5.5,0.5,0.89,0.0,,0.3,13.64,1.0,2.0,2.5,Manhattan,Bloomingdale,Boro Zone,Brooklyn,Williamsburg (North Side),Boro Zone
2,2023-01-23 08:44:07,2023-01-23 09:01:06,Y,99.0,75,239,5.0,1.708,6.25,0.5,0.5,0.0,0.0,,0.3,7.55,2.0,2.0,0.0,Manhattan,Bloomingdale,Boro Zone,Manhattan,Central Park,Yellow Zone
2,2023-01-16 00:08:36,2023-01-16 00:38:39,Y,6.0,1,75,3.0,1.191,6.7,3.75,0.0,0.79,0.0,,0.0,13.74,1.0,1.0,2.5,Unknown,Unknown,Unknown,Manhattan,Bloomingdale,Boro Zone
1,2023-01-22 11:16:11,2023-01-22 11:37:34,Y,5.0,74,74,3.0,2.43,6.64,5.5,0.0,2.68,0.0,,0.3,15.12,1.0,2.0,0.0,Manhattan,Morningside Heights,Boro Zone,Manhattan,Morningside Heights,Boro Zone
2,2023-01-08 15:46:54,2023-01-08 16:11:48,Y,1.0,74,142,0.0,0.394,2.5,1.0,0.0,0.0,17.0,,0.3,20.8,2.0,1.0,0.0,Manhattan,Morningside Heights,Boro Zone,Queens,Steinway,Boro Zone
1,2023-01-13 09:57:27,2023-01-13 10:03:06,Y,6.0,4,1,6.0,4.9,11.17,3.0,0.0,0.0,17.0,,0.0,33.67,2.0,2.0,2.5,Bronx,Allerton/Pelham Gardens,Boro Zone,Unknown,Unknown,Unknown
1,2023-01-17 08:18:10,2023-01-17 08:46:38,N,5.0,181,263,3.0,5.213,13.04,3.5,0.0,2.49,0.0,,0.3,21.83,1.0,1.0,2.5,Brooklyn,Williamsburg (North Side),Boro Zone,Brooklyn,Greenpoint,Boro Zone
